path,measured_size,status,batch_id,notes
logs/research/claude-marketplace/samples/123jimin-vibe--plugin-prompt-engineer.md,26525,pending,,
logs/research/claude-marketplace/samples/777genius--claude-notifications-go.md,37965,pending,,
logs/research/claude-marketplace/samples/AgentBuildersApp--eight-eyes.md,30475,pending,,
logs/research/claude-marketplace/samples/Arcanon-hub--arcanon.md,29777,pending,,
logs/research/claude-marketplace/samples/BULDEE--ai-craftsman-superpowers.md,41986,pending,,
logs/research/claude-marketplace/samples/BaseInfinity--sdlc-wizard.md,31490,pending,,
logs/research/claude-marketplace/samples/BrandCast-Signage--root.md,28075,pending,,
logs/research/claude-marketplace/samples/Chachamaru127--claude-code-harness.md,31557,pending,,
logs/research/claude-marketplace/samples/ChanMeng666--claude-code-audio-hooks.md,28095,pending,,
logs/research/claude-marketplace/samples/Chulf58--FORGE.md,32449,pending,,
logs/research/claude-marketplace/samples/CodeAlive-AI--codealive-skills.md,23710,pending,,
logs/research/claude-marketplace/samples/CronusL-1141--AI-company.md,33339,pending,,
logs/research/claude-marketplace/samples/Emasoft--token-reporter-plugin.md,27027,pending,,
logs/research/claude-marketplace/samples/HiH-DimaN--idea-to-deploy.md,40462,pending,,
logs/research/claude-marketplace/samples/IgorGanapolsky--ThumbGate.md,35089,pending,,
logs/research/claude-marketplace/samples/JordanCoin--pdf-to-text.md,23421,pending,,
logs/research/claude-marketplace/samples/K-dash--typemux-cc.md,22985,pending,,
logs/research/claude-marketplace/samples/Kanevry--session-orchestrator.md,30981,pending,,
logs/research/claude-marketplace/samples/Lykhoyda--rn-dev-agent.md,37532,pending,,
logs/research/claude-marketplace/samples/NoelClay--academic-research-mcp-plugin.md,24221,pending,,
logs/research/claude-marketplace/samples/REPOZY--superpowers-optimized.md,26587,pending,,
logs/research/claude-marketplace/samples/SankaiAI--ats-optimized-resume-agent-skill.md,20950,pending,,
logs/research/claude-marketplace/samples/ShaheerKhawaja--ProductionOS.md,29293,pending,,
logs/research/claude-marketplace/samples/SkinnnyJay--wiki-llm.md,28313,pending,,
logs/research/claude-marketplace/samples/Vortiago--mcp-outline.md,30495,pending,,
